Day, Number of animals, Number of Grass, Number of free tiles, The most popular genotype, Average energy, Average lifespan, Average number of children
1, 45, 70, 299, 33474, 56.67, 0.00, 0.22
2, 45, 84, 282, 33474, 54.00, 0.00, 0.22
3, 45, 99, 268, 33474, 49.78, 0.00, 0.22
4, 45, 117, 254, 33474, 42.22, 0.00, 0.22
5, 45, 129, 239, 33474, 40.22, 0.00, 0.22
6, 44, 137, 239, 33474, 36.36, 4.00, 0.23
7, 36, 137, 239, 33474, 41.11, 5.33, 0.08
8, 35, 135, 247, 33474, 39.00, 5.36, 0.14
9, 25, 132, 249, 61126, 49.80, 6.62, 0.20
10, 25, 130, 258, 61126, 47.80, 6.82, 0.24
11, 21, 134, 253, 61126, 45.95, 7.23, 0.29
12, 20, 144, 246, 61126, 39.25, 7.33, 0.30
13, 15, 144, 244, 61126, 45.00, 7.97, 0.20
14, 15, 139, 251, 61126, 40.33, 7.97, 0.20
15, 12, 136, 257, 61126, 47.08, 8.60, 0.25
16, 10, 143, 251, 61126, 47.50, 8.89, 0.30
17, 8, 152, 242, 61126, 53.13, 8.74, 0.38
18, 7, 161, 234, 61126, 55.00, 8.95, 0.14
19, 7, 165, 230, 61126, 50.71, 8.95, 0.14
20, 7, 168, 229, 61126, 49.29, 8.95, 0.14
21, 5, 169, 228, 61126, 57.00, 9.43, 0.20
22, 4, 179, 218, 61126, 63.75, 9.67, 0.25
23, 4, 183, 213, 61126, 53.75, 9.67, 0.25
24, 4, 183, 214, 61126, 53.75, 9.67, 0.25
25, 3, 183, 214, 27270, 61.67, 10.02, 0.33
26, 3, 179, 219, 27270, 50.00, 10.02, 0.33
27, 3, 183, 215, 27270, 26.67, 10.02, 0.33
28, 3, 181, 217, 27270, 20.00, 10.02, 0.33
29, 2, 177, 221, 27270, 35.00, 10.40, 0.50
30, 2, 175, 223, 27270, 25.00, 10.40, 0.50
31, 2, 170, 228, 27270, 15.00, 10.40, 0.50
32, 2, 166, 232, 27270, 5.00, 10.40, 0.50